Sub Code,Street Name,Street Number,Historical Name,Construction Date,Condition 1,Condition 2,Date Listed,Long Report URL,Short Report URL,Map URL,Grade,Location,Point
List of Historical Resources,Main Street,765,CPR Post Office Building,1924,"With the following exterior elements:1) the rectangular warehouse with primary façades facing north and south and its relationship/proximity to the railway to the south; 2) the raised concrete foundation with red brick superstructure featuring pilasters and decorative panels between the second and third storey windows; 3) regularly placed multi-pane steel windows with centre hoppers on the north and south façades, concrete lug sills and dark brick soldier-course lintels; and 4) warehouse function shown through loading door openings on the north, south and east façades, metal canopy on the north façade, and loading rails throughoutWith the following interior elements:1) original staircase and finishes; 2) exposed concrete columns with mushroom capitals; 3) original wood loading door; and 4) angled beams and 2x4-on-end ceiling structure of the third floor",,07/05/2012,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-765-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Main-765-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=173223&js=y,III,"(49.90578187919958, -97.1330696998723)",POINT (-97.133069699872 49.9057818792)
List of Historical Resources,Wellington Crescent,529,Khartum Temple (J. H. Ashdown House),1912,With the following interior elements:1) all ground floor finishes and central stairway;2) stained glass windows; and3) interior finishes on hallways on 2nd and 3rd floors,,19/10/1983,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Wellington-529-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Wellington-529-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=145746&js=y,II,"(49.87655878344545, -97.1609999718496)",POINT (-97.16099997185 49.876558783445)
List of Historical Resources,Ellen Street,268,Scandinavian Mission Church,1886,,,26/10/1987,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Ellen268-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Ellen-268-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=150627&js=y,III,"(49.90487000657285, -97.14367869440203)",POINT (-97.143678694402 49.904870006573)
Commemorative List,Kingsway,83,E.H. Heath House,1907,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=136689&js=y,N/A,"(49.87428501050232, -97.16426986475645)",POINT (-97.164269864756 49.874285010502)
List of Historical Resources,Sinclair Street,180,Fire Hall No. 7,1910,,,30/08/1994,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Sinclair180-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Sinclair-180-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=180815&js=y,III,"(49.9211225433793, -97.15856344611291)",POINT (-97.158563446113 49.921122543379)
List of Historical Resources,Pembina Highway,3514,"McDougall House (formerly in Lorette, MB)",1883,,,31/10/1988,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Pembina3514Lorette-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/PembinaHwy3514Lorette-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=37096&js=y,III,"(49.76674063503273, -97.15382090938758)",POINT (-97.153820909388 49.766740635033)
List of Historical Resources,Disraeli Street,110,St. Michael's Greek Orthodox Church,1918,"With the following exterior elements:1) the west-facing church located on Disraeli Street; 2) simple, elongated rectangular plan; 3) exposed, roughly-dressed limestone block base; 4) lively massing of multiple volumes of varying heights and roof configurations, including a gable-roofed nave and projecting three-side apse; 5) square entrance tower with a metal-clad onion dome and Greek Orthodox cross atop a pyramidal roof; 6) pointed arch window openings throughout with simple wooden tracery; 7) stained glass bull's eye window in the rear (east) façade; 8) low, raised stone structure attached to the east wall; 9) secondary, smaller onion-dome on the east roof peak; and10) horizontal lap sidingWith the following interior elements:1) formal plan featuring an unobstructed nave, with the raised sanctuary separated by an elaborate three-opening iconostasis; and2) choir loft at west end of nave",,25/03/2008,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Disraeli110-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/Disraeli110-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=167276&js=y,III,"(49.90591971943585, -97.12502183481118)",POINT (-97.125021834811 49.905919719436)
Commemorative List,Ruskin Row,14,J.C.G. Armytage House,1909,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=143312&js=y,N/A,"(49.87362555830046, -97.16146466871754)",POINT (-97.161464668718 49.8736255583)
List of Historical Resources,James Avenue,110,Ryan Brothers Building,1910,"With the following exterior elements: 1) four-storey brick and stone warehouse with raised rusticated stone basement situated on the southeast corner of James Avenue and Bertha Street with main façades facing north on James Avenue and west on Bertha Street; 2) main (north) façade with large entrance opening at its east end, large rectangular main floor windows in openings with continuous stone heads, paired rectangular windows in openings with stone lug sills on the upper three floors and brick corbelling above the fourth floor openings and at the flat roof; 3) west façade that carries on the design, scale and layout of the windows in openings and brick and stone accenting of the main façade; 4) rear (south) façade with rectangular windows in openings with stone lug sills on all four floors; and 5) painted signage on the east, west and south elevations. With the following interior elements: 1) heavy timber mill structural system.",,19/07/2018,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/James-110-long.pdf,http://www.winnipeg.ca/ppd/Documents/Heritage/HeritageResourcesReports/James-110-short.pdf,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=152914&js=y,N/A,"(49.898605309439965, -97.13414527380431)",POINT (-97.134145273804 49.89860530944)
Commemorative List,West Gate,79,J.D. Brook House,1911,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=145991&js=y,N/A,"(49.87704927517939, -97.15774683417916)",POINT (-97.157746834179 49.877049275179)
Commemorative List,Spence Street,178,House,1903,,,,,,http://cms00asa1.winnipeg.ca/eCISMap.jsp?rsn=143674&js=y,N/A,"(49.88606992331664, -97.15462149125719)",POINT (-97.154621491257 49.886069923317)
