IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,Automatic Fare Collection System (AFCS) Upgrade,"The Automatic Fare Collection System (AFCS) project includes an upgrade of the existing fare collection technology, and migration of software to a new platform.",Winnipeg Transit,Public Transit,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2031,,,N,2,,,,,,,
2024,Bus Radio and Intelligent Transportation System (ITS) Replacement,"This project will see the replacement of existing bus radio hardware, equipment, and Intelligent Transportation Systems (ITS). The project will include replacement of radios on the entire Transit fleet currently approaching the end of useful life.",Winnipeg Transit,Public Transit,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2030,,,N,8,,,,,,,
2024,Community and Neighbourhood Parks Program,"Refurbishment and/or improvements to various parks to repair aging park infrastructure and related amenities, and construct new amenities to address identified gaps in service.",Public Works,Parks - Local,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,6445000,2027,,,Y,2,,,,,,,
2024,Electric Vehicles and Infrastructure,This annual program would fund replacement of approximately 16 vehicles with electric vehicles and supporting infrastructure.,Public Works,Multiple Organizational Support Services,Program,0,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,2000000,2032,,,N,4,,,,,,,
2024,Evidence Archive Building,Additional secure storage is required to house long term exhibits for sex crimes and murders. Maximum capacity is projected to be reached within the next 5 years.  Options for 20 years of additional capacity are being developed.,Winnipeg Police Service,Police Services,Project,0,0,4,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,0,2033,,,N,5,,,,,,,
2024,Flight Operations - Helicopter,The helicopter currently in use will reach the end of its useful life.,Winnipeg Police Service,Police Services,Project,0,0,4,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,0,2027,,,N,4,,,,,,,
2024,Heavy Equipment Replacement Program,"The Heavy Equipment Replacement Program will replace outdated and aged heavy and specialized equipment throughout Transit. This will minimize equipment and bus downtime, and ensure services are able to be provided in a timely and efficient manner.",Winnipeg Transit,Public Transit,Program,8640000,0,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,450000,901000,2024,,,N,1,,,,,,,
2024,Laboratory Information Management System,This program provides ongoing improvements and reduction of manual effort in the Laboratory Information Management System.,Innovation and Technology,Water,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,800000,0,2026,,,N,3,,,,,,,
2024,Process Control System Master Plan and Upgrade,"This program will develop a plan to ensure operational reliability throughout the upgrades and in the long term once the upgrades are complete. The major components of this program include: maintaining the Distributed Control Systems (DCS) and Human Machine Interface (HMI) systems until replacement, upgrading the inter-plant communication systems and network security components, and replacement of the West End Sewage Treatment Plant DCS and HMI systems.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2031,,,N,1,,,,,,,
2024,"Recreational Facility Safety, Security & Accessibility Improvements Program","This capital program addresses workplace and public safety, health, and accessibility issues. Recreation and aquatic facility amenities must be refurbished to meet public health and safety standards, regulations, and to enhance facilities to meet the needs of the public.",Community Services,Recreation,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,956000,0,2029,,,N,23,,,,,,,
2024,Waterway Crossing and Grade Separations - Annual Program,"Annual program to carry out preventative maintenance, major repairs, improvements or replacement to existing bridges, overpasses, underpasses, culverts and related bridge infrastructure, ensuring continued and continuous services of these facilities to the maximum practical extent.",Public Works,Bridges - Regional,Program,0,1,,A City that Works for Residents through Improved Customer Service,Renew,,,,3703000,0,2033,,,Y,1,,,,,,,
2023,Feeder Main Condition Assessment and Rehabilitation,text,Water and Waste,Water,Program,10700000,1,,Environmental Resilience,Renew,,,,950000,0,2030,,,,,,,,,,,
2023,Sewer Renewals,text,Water and Waste,Wastewater,Program,211000000,1,,Environmental Resilience,Renew,,,,22000000,0,2030,,,,,,,,,,,
2023,Wheel Chair Securements - Retro fit,text,Winnipeg Transit,Public Transit,Program,13750000,1,,City Building,Upgrade,,,,4125000,0,2026,,,,,,,,,,,
2024,Bonivista Recreation and Leisure Centre,"The proposed project involves the development of a new community centre facility, including gymnasium space to serve population growth in southeast Winnipeg.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Fraipont,St. Vital,POINT (-97.061194 49.823781),0,0,2033,Growth-supportive infrastructure,,N,12,,,,,,,
2024,East of the Red RecPlex,"The proposed project involves the development of a 90,000-square-foot regional recreation and leisure facility, including a leisure pool, eight-lane swim tank, indoor track, fitness areas, gymnasium, and multi-purpose rooms, all attached to the new Transcona Library.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Growth,Regent,Transcona,POINT (-97.026639 49.901639),0,0,2033,Growth-supportive infrastructure,,N,3,,,,,,,
2024,Louise Bridge Rehabilitation / Replacement,"The proposed project scope has yet to be fully defined as a preliminary design study for Louise Bridge, Higgins Underpass, and Stadacona Street extension are required.",Public Works,Bridges - Regional,Project,0,0,5,A City that Works for Residents through Improved Customer Service,Renew,Chalmers,Elmwood - East Kildonan,POINT (-97.11378962 49.90567004),0,10072000,2029,,,Y,4,,,,,,,
2024,North End Sewage Treatment plant (NEWPCC) Upgrades: Power Supply and Headworks Facilities,,Water and Waste,Wastewater,Project,0,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Kildonan Industrial,Old Kildonan,POINT (-97.10764 49.95172),0,0,2033,Growth-enabling infrastructure,,N,11,,,,,,,
2024,Training Centre (formerly McPhilips Academy),Expansion of academy to provide additional space to deliver required level of services,Fire Paramedic Service,Fire & Rescue Response,Project,54388000,0,5,"A Livable, Safe, Healthy, Happy City",Renew,Leila North,Old Kildonan,POINT (-97.14325453 49.96114652),0,0,2024,,,N,6,,,,,,,
2024,Shoal Lake Aqueduct Condition Assessment and Rehabilitation,"Funds are for condition assessment and rehabilitation work identified through on-going monitoring and inspection programs. Work identified to date includes rehabilitation of the aqueduct pipe, berm, and underdrain system, rehabilitation of the drainage siphons crossing under the aqueduct, vegetation management, and the rehabilitation/replacement of select boathouses, overflow structures, bar screens, vent pipes, manholes, culverts, ditches, and bridging structures.",Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,2400000,0,2029,,,N,10,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,368500000,1,,Environmental Resilience,Upgrade,,,,41500000,0,2025,,,,,,,,,,,
2024,City of Winnipeg Archives - The Winnipeg 150 Legacy Project,"Renovations at 380 William Avenue will create a space that meets the programming needs of today's City of Winnipeg Archives, including the legislated and fiduciary requirements for the long-term storage and preservation of archival records. The renovations will enable the framework outlined in “A Reconciliation Framework for Canadian Archives”, allowing the City to advance reconciliation efforts through governance, operations and organizational culture changes including fair representation, professional practice and relationship building.",City Clerks,Multiple Organizational Support Services,Project,0,1,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2033,,,N,3,,,,,,,
2023,Wastewater Services Facilities Plan,text,Water and Waste,Wastewater,Project,20000000,1,5,Environmental Resilience,Growth,,,,20000000,0,2030,,,,,,,,,,,
2024,Millennium Library Parkade High Priority Repairs 2024-2027,"The Millennium Library Parkade requires capital repairs to be undertaken between 2024-2027, that if left unattended, could cause an unplanned closure of the parkade. In 2024 detailed design work will be undertaken and construction will take place between 2025-2027. The primary elements being repaired are structural work on the P1 slab to address concrete deterioration, replacing lighting system controls that are obsolete and replacing the air handler unit that is past it's useful life. The repairs are staggered over three years to allow for continued use of the parkade.",Public Works,Parking,Project,0,1,5,The Downtown,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),0,0,2029,,,N,1,,,,,,,
2023,Indoor Aquatics and Rec Centres Capital Renewal Program,text,Assets and Project Management,Recreation,Program,68630000,0,,Leadership & Good Governance,Renew,,,,0,11595000,2026,,,,,,,,,,,
2023,Transit Roof Replacement and Ventilation Upgrade,text,Winnipeg Transit,Public Transit,Program,7300000,1,,City Building,Upgrade,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),2450000,0,2024,,,,,,,,,,,
2024,Fort Garry Lions Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,0,0,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Crescent Park,Fort Rouge - East Fort Garry,POINT (-97.150292 49.840102),0,0,2030,,,Y,16,,,,,,,
2024,Comprehensive Integrated Waste Management Strategy (CIWMS) - 4R Winnipeg Depot - West,This project is to build a 4th 4R Winnipeg Depot in the west part of the city.,Water and Waste,Recycling & Waste Diversion,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,Saskatchewan North,St. James,POINT (-97.30935598 49.90214501),0,7100000,2025,,,N,2,,,,,,,
2024,Water Treatment Plant Asset Refurbishment and Replacement Program,The Winnipeg Drinking Water Treatment Plant provides treated drinking water to the City of Winnipeg. The continued upkeep and maintenance of the Winnipeg Drinking Water Treatment Plant's assets is required to ensure a continuous supply of water. An asset refurbishment and replacement plan has been developed to address asset lifecycle issues at the water treatment plant as they arise.,Water and Waste,Water,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2033,,,N,14,,,,,,,
2024,West End Sewage Treatment Plant (WEWPCC) Facilities Plan,The West End Sewage Treatment Plant (WEWPCC) was upgraded to remove nutrients in 2008. Assets of the sewage treatment plant that were not part of the upgrade are in various stages of condition/life-span.,Water and Waste,Wastewater,Project,0,1,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,POINT (-97.33230115 49.83968464),0,0,2033,Growth-enabling infrastructure,,N,15,,,,,,,
2023,Water Main Renewals,text,Water and Waste,Water,Program,220500000,1,,Environmental Resilience,Renew,,,,21250000,0,2027,,,,,,,,,,,
2024,North Garage Replacement,"The proposed project would see the replacement of Winnipeg Transit's existing North Garage currently located at 1520 Main Street at a new location. The project includes the development of an energy efficient bus storage and light maintenance facility with increased bus capacity, designed to facilitate the transition to an electric bus fleet.",Winnipeg Transit,Public Transit,Project,0,1,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Jefferson,Mynarski,POINT (-97.12461404 49.93030162),0,0,2032,,,N,7,,,,,,,
2024,Assiniboine Park Conservancy (APC) - Infrastructure and Sustainability,"This investment represents the City's ongoing commitment to Assiniboine Park building repairs, upgrades and park improvements.",Public Works,Parks - Regional,Commitment,0,1,,"A Livable, Safe, Healthy, Happy City",Renew,Assiniboine Park,Charleswood - Tuxedo - Westwood,POINT (-97.23028564 49.87211724),5400000,0,2025,,,N,3,,,,,,,
2024,Sewer Renewals,"This is a program to replace and/or rehabilitate combined, wastewater, and land drainage sewer infrastructure that are no longer meeting level of service objectives. A portion of the funding will be used for condition assessment of sewer assets; sewers will be replaced or rehabilitated using appropriate technologies on a risk-based level of service basis. Funds will also be utilized to update the sewer asset register, and ongoing operating costs associated with software licensing and maintenance have been included in the operating budget.",Water and Waste,Wastewater,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,29500000,0,2033,,,N,17,,,,,,,
2023,Health/Life Safety/Emergency Systems Refurbishment/City-Wide Accessibility,text,Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,1103849000,0,,Good Health & Well-Being,Renew,,,,681000,72228000,2030,,,,,,,,,,,
2024,Brady Road Resource Management Facility Alternative Energy Project,This project will implement an alternative energy program to convert landfill gas to either electricity or natural gas.,Water and Waste,Solid Waste Disposal,Project,0,0,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2033,,,N,5,,,,,,,
2024,Land Drainage and Combined Sewers Outfall Gate Structures,"The current focus of this program is to upgrade existing gate chambers to meet minimum levels of service and install new gate chambers for flood control on both combined and separated sewer districts during high river level conditions. Under high river level (flood) conditions, the river water backs up into the land drainage and combined sewer systems.",Water and Waste,Land Drainage & Flood Control,Program,0,1,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2029,,,N,4,,,,,,,
2024,Community Incentive Grant Program,Funding to re-instate the Community Incentive Grant Program as per Council's Strategic Priorities Action Plan.,Community Services,Recreation,Program,0,1,,"A Livable, Safe, Healthy, Happy City",Growth,,,,1344000,0,2032,,,N,22,,,,,,,
2024,St Vital Bridge Rehabilitation,The St. Vital Bridge (Red River) connecting Osborne Street to Dunkirk Drive will require bridge deck rehabilitation including marginal widening to better accommodate pedestrian and cycling requirements. Preliminary design was completed in 2022 and detailed design in 2023. Construction is expected to be staged over a two year period. The rehabilitated structure will provide an additional 50 years of service life.,Public Works,Bridges - Regional,Project,0,1,1,A City that Works for Residents through Improved Customer Service,Renew,Riverview,Fort Rouge - East Fort Garry,POINT (-97.12658634 49.85575884),0,0,2027,,,N,2,,,,,,,
2023,Riverbank Stabilization Physical Asset Protection (RSPAP) Program,text,"Planning, Property & Development",Land Drainage & Flood Control,Program,198000000,0,,Environmental Resilience,Upgrade,,,,0,19800000,2023,,,,,,,,,,,
2023,Regional and Local Street Renewal,text,Public Works,Roads - Regional,Program,1737705000,1,,Leadership & Good Governance,Renew,,,,187354000,0,2030,,,,,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,6640000,1,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2024,,,N,4,,,,,,,
2024,Community Centre Capital Renewal Program,"The Community Centre Capital Maintenance & Renewal Program addresses maintenance and renewal needs for City of Winnipeg community centres focusing on community centre projects that are considered the City’s responsibility as outlined in the Universal Funding Formula. This includes building envelope retrofit, structural repairs, controls and mechanical systems, repair/replacement of sewer and water lines to buildings, electrical systems, functionality and accessibility improvements, hazardous material abatement (radon, lead, mould or asbestos), outdoor rink lighting upgrades, parking lot lighting replacements, replacement of elevators and lifts due to age, roof replacements, fire safety system improvements and parking lot renewals.",Assets and Project Management,Recreation,Program,0,0,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,21043000,2025,,,N,9,,,,,,,
